Item,Category,Qty.,Total (₹)
Talumain Soup,Soup,1.00,140.00
Hot Coffee (Large),Hot,1.00,50.00
Cheese Corn Garlic B,Bites,1.00,160.00
Cheesy Fries,Bites,1.00,140.00
Mushroom 65,Starters,1.00,200.00
Burnt Garlic Noodles,Rice /Noodles,1.00,200.00
Veg. Pataya,Appetizers,1.00,220.00
Farmhouse Pizza (Large),Pizza,1.00,240.00
Onion & Capsicum Pizza,Pizza,1.00,200.00
Pot Rice,Thai Rice /Noodle,1.00,320.00
Chopper Schezwan Rice,With Gravy,1.00,270.00
